x1,x2,x3,x4,x5,y
100,0,30,0,5,0.356
100,0,50,0,5,0.786
100,0,70,0,5,1.735
100,0,90,0,5,4.087
100,0.5,30,0,5,0.459
100,0.5,50,0,5,0.948
100,0.5,70,0,5,2.028
100,0.5,90,0,5,4.76
100,1,30,0,5,0.55
100,1,50,0,5,1.093
100,1,70,0,5,2.246
100,1,90,0,5,5.218
100,2,30,0,5,0.714
100,2,50,0,5,1.334
100,2,70,0,5,2.618
100,2,90,0,5,5.889
100,0,30,0.1,5,0.296
100,0,50,0.1,5,0.666
100,0,70,0.1,5,1.494
100,0,90,0.1,5,3.534
100,0.5,30,0.1,5,0.392
100,0.5,50,0.1,5,0.816
100,0.5,70,0.1,5,1.772
100,0.5,90,0.1,5,4.205
100,1,30,0.1,5,0.477
100,1,50,0.1,5,0.953
100,1,70,0.1,5,1.997
100,1,90,0.1,5,4.666
100,2,30,0.1,5,0.638
100,2,50,0.1,5,1.203
100,2,70,0.1,5,2.393
100,2,90,0.1,5,5.438
100,0,30,0.2,5,0.237
100,0,50,0.2,5,0.544
100,0,70,0.2,5,1.243
100,0,90,0.2,5,2.98
100,0.5,30,0.2,5,0.324
100,0.5,50,0.2,5,0.687
100,0.5,70,0.2,5,1.508
100,0.5,90,0.2,5,3.642
100,1,30,0.2,5,0.402
100,1,50,0.2,5,0.814
100,1,70,0.2,5,1.716
100,1,90,0.2,5,4.08
100,2,30,0.2,5,0.553
100,2,50,0.2,5,1.039
100,2,70,0.2,5,2.094
100,2,90,0.2,5,4.808
100,0,30,0.3,5,0.186
100,0,50,0.3,5,0.439
100,0,70,0.3,5,1.012
100,0,90,0.3,5,2.433
100,0.5,30,0.3,5,0.262
100,0.5,50,0.3,5,0.565
100,0.5,70,0.3,5,1.26
100,0.5,90,0.3,5,3.068
100,1,30,0.3,5,0.332
100,1,50,0.3,5,0.678
100,1,70,0.3,5,1.45
100,1,90,0.3,5,3.474
100,2,30,0.3,5,0.471
100,2,50,0.3,5,0.888
100,2,70,0.3,5,1.812
100,2,90,0.3,5,4.187
100,0,30,0.4,5,0.143
100,0,50,0.4,5,0.344
100,0,70,0.4,5,0.81
100,0,90,0.4,5,1.965
100,0.5,30,0.4,5,0.211
100,0.5,50,0.4,5,0.464
100,0.5,70,0.4,5,1.041
100,0.5,90,0.4,5,2.581
100,1,30,0.4,5,0.272
100,1,50,0.4,5,0.56
100,1,70,0.4,5,1.215
100,1,90,0.4,5,2.947
100,2,30,0.4,5,0.393
100,2,50,0.4,5,0.75
100,2,70,0.4,5,1.535
100,2,90,0.4,5,3.615
1000,0,30,0,5,0.268
1000,0,50,0,5,0.693
1000,0,70,0,5,1.658
1000,0,90,0,5,4.035
1000,0.5,30,0,5,0.308
1000,0.5,50,0,5,0.77
1000,0.5,70,0,5,1.864
1000,0.5,90,0,5,4.653
1000,1,30,0,5,0.338
1000,1,50,0,5,0.831
1000,1,70,0,5,2.017
1000,1,90,0,5,5.038
1000,2,30,0,5,0.396
1000,2,50,0,5,0.928
1000,2,70,0,5,2.231
1000,2,90,0,5,5.593
1000,0,30,0.1,5,0.229
1000,0,50,0.1,5,0.592
1000,0,70,0.1,5,1.439
1000,0,90,0.1,5,3.526
1000,0.5,30,0.1,5,0.265
1000,0.5,50,0.1,5,0.673
1000,0.5,70,0.1,5,1.655
1000,0.5,90,0.1,5,4.124
1000,1,30,0.1,5,0.296
1000,1,50,0.1,5,0.736
1000,1,70,0.1,5,1.796
1000,1,90,0.1,5,4.541
1000,2,30,0.1,5,0.355
1000,2,50,0.1,5,0.847
1000,2,70,0.1,5,2.049
1000,2,90,0.1,5,5.185
1000,0,30,0.2,5,0.188
1000,0,50,0.2,5,0.493
1000,0,70,0.2,5,1.204
1000,0,90,0.2,5,2.959
1000,0.5,30,0.2,5,0.222
1000,0.5,50,0.2,5,0.57
1000,0.5,70,0.2,5,1.412
1000,0.5,90,0.2,5,3.588
1000,1,30,0.2,5,0.251
1000,1,50,0.2,5,0.631
1000,1,70,0.2,5,1.552
1000,1,90,0.2,5,3.959
1000,2,30,0.2,5,0.307
1000,2,50,0.2,5,0.737
1000,2,70,0.2,5,1.802
1000,2,90,0.2,5,4.592
1000,0,30,0.3,5,0.151
1000,0,50,0.3,5,0.403
1000,0,70,0.3,5,0.991
1000,0,90,0.3,5,2.434
1000,0.5,30,0.3,5,0.182
1000,0.5,50,0.3,5,0.474
1000,0.5,70,0.3,5,1.187
1000,0.5,90,0.3,5,3.043
1000,1,30,0.3,5,0.21
1000,1,50,0.3,5,0.534
1000,1,70,0.3,5,1.324
1000,1,90,0.3,5,3.393
1000,2,30,0.3,5,0.26
1000,2,50,0.3,5,0.63
1000,2,70,0.3,5,1.55
1000,2,90,0.3,5,3.998
1000,0,30,0.4,5,0.12
1000,0,50,0.4,5,0.323
1000,0,70,0.4,5,0.797
1000,0,90,0.4,5,1.948
1000,0.5,30,0.4,5,0.149
1000,0.5,50,0.4,5,0.395
1000,0.5,70,0.4,5,0.99
1000,0.5,90,0.4,5,2.557
1000,1,30,0.4,5,0.172
1000,1,50,0.4,5,0.445
1000,1,70,0.4,5,1.113
1000,1,90,0.4,5,2.883
1000,2,30,0.4,5,0.218
1000,2,50,0.4,5,0.538
1000,2,70,0.4,5,1.334
1000,2,90,0.4,5,3.468
2000,0,30,0,5,0.258
2000,0,50,0,5,0.681
2000,0,70,0,5,1.654
2000,0,90,0,5,4.031
2000,0.5,30,0,5,0.289
2000,0.5,50,0,5,0.761
2000,0.5,70,0,5,1.859
2000,0.5,90,0,5,4.641
2000,1,30,0,5,0.314
2000,1,50,0,5,0.808
2000,1,70,0,5,1.994
2000,1,90,0,5,5.034
2000,2,30,0,5,0.357
2000,2,50,0,5,0.893
2000,2,70,0,5,2.202
2000,2,90,0,5,5.563
2000,0,30,0.1,5,0.221
2000,0,50,0.1,5,0.586
2000,0,70,0.1,5,1.439
2000,0,90,0.1,5,3.524
2000,0.5,30,0.1,5,0.251
2000,0.5,50,0.1,5,0.66
2000,0.5,70,0.1,5,1.645
2000,0.5,90,0.1,5,4.11
2000,1,30,0.1,5,0.275
2000,1,50,0.1,5,0.717
2000,1,70,0.1,5,1.783
2000,1,90,0.1,5,4.526
2000,2,30,0.1,5,0.323
2000,2,50,0.1,5,0.812
2000,2,70,0.1,5,2.014
2000,2,90,0.1,5,5.153
2000,0,30,0.2,5,0.182
2000,0,50,0.2,5,0.488
2000,0,70,0.2,5,1.203
2000,0,90,0.2,5,2.958
2000,0.5,30,0.2,5,0.211
2000,0.5,50,0.2,5,0.564
2000,0.5,70,0.2,5,1.405
2000,0.5,90,0.2,5,3.57
2000,1,30,0.2,5,0.234
2000,1,50,0.2,5,0.615
2000,1,70,0.2,5,1.553
2000,1,90,0.2,5,3.932
2000,2,30,0.2,5,0.277
2000,2,50,0.2,5,0.705
2000,2,70,0.2,5,1.778
2000,2,90,0.2,5,4.577
2000,0,30,0.3,5,0.148
2000,0,50,0.3,5,0.403
2000,0,70,0.3,5,0.985
2000,0,90,0.3,5,2.431
2000,0.5,30,0.3,5,0.174
2000,0.5,50,0.3,5,0.469
2000,0.5,70,0.3,5,1.186
2000,0.5,90,0.3,5,3.038
2000,1,30,0.3,5,0.196
2000,1,50,0.3,5,0.521
2000,1,70,0.3,5,1.316
2000,1,90,0.3,5,3.397
2000,2,30,0.3,5,0.234
2000,2,50,0.3,5,0.605
2000,2,70,0.3,5,1.536
2000,2,90,0.3,5,3.995
2000,0,30,0.4,5,0.118
2000,0,50,0.4,5,0.321
2000,0,70,0.4,5,0.796
2000,0,90,0.4,5,1.948
2000,0.5,30,0.4,5,0.141
2000,0.5,50,0.4,5,0.388
2000,0.5,70,0.4,5,0.984
2000,0.5,90,0.4,5,2.546
2000,1,30,0.4,5,0.162
2000,1,50,0.4,5,0.434
2000,1,70,0.4,5,1.111
2000,1,90,0.4,5,2.881
2000,2,30,0.4,5,0.198
2000,2,50,0.4,5,0.517
2000,2,70,0.4,5,1.314
2000,2,90,0.4,5,3.456
100,0,30,0,10,0.634
100,0,50,0,10,1.334
100,0,70,0,10,2.768
100,0,90,0,10,6.17
100,0.5,30,0,10,0.791
100,0.5,50,0,10,1.566
100,0.5,70,0,10,3.148
100,0.5,90,0,10,6.879
100,1,30,0,10,0.927
100,1,50,0,10,1.768
100,1,70,0,10,3.456
100,1,90,0,10,7.471
100,2,30,0,10,1.168
100,2,50,0,10,2.142
100,2,70,0,10,4.017
100,2,90,0,10,8.374
100,0,30,0.1,10,0.527
100,0,50,0.1,10,1.123
100,0,70,0.1,10,2.379
100,0,90,0.1,10,5.343
100,0.5,30,0.1,10,0.673
100,0.5,50,0.1,10,1.343
100,0.5,70,0.1,10,2.736
100,0.5,90,0.1,10,6.049
100,1,30,0.1,10,0.801
100,1,50,0.1,10,1.541
100,1,70,0.1,10,3.038
100,1,90,0.1,10,6.642
100,2,30,0.1,10,1.047
100,2,50,0.1,10,1.912
100,2,70,0.1,10,3.599
100,2,90,0.1,10,7.678
100,0,30,0.2,10,0.425
100,0,50,0.2,10,0.915
100,0,70,0.2,10,1.957
100,0,90,0.2,10,4.444
100,0.5,30,0.2,10,0.562
100,0.5,50,0.2,10,1.117
100,0.5,70,0.2,10,2.291
100,0.5,90,0.2,10,5.133
100,1,30,0.2,10,0.677
100,1,50,0.2,10,1.298
100,1,70,0.2,10,2.58
100,1,90,0.2,10,5.718
100,2,30,0.2,10,0.897
100,2,50,0.2,10,1.645
100,2,70,0.2,10,3.117
100,2,90,0.2,10,6.655
100,0,30,0.3,10,0.333
100,0,50,0.3,10,0.734
100,0,70,0.3,10,1.586
100,0,90,0.3,10,3.575
100,0.5,30,0.3,10,0.449
100,0.5,50,0.3,10,0.913
100,0.5,70,0.3,10,1.891
100,0.5,90,0.3,10,4.292
100,1,30,0.3,10,0.557
100,1,50,0.3,10,1.08
100,1,70,0.3,10,2.152
100,1,90,0.3,10,4.818
100,2,30,0.3,10,0.761
100,2,50,0.3,10,1.398
100,2,70,0.3,10,2.654
100,2,90,0.3,10,5.727
100,0,30,0.4,10,0.258
100,0,50,0.4,10,0.576
100,0,70,0.4,10,1.262
100,0,90,0.4,10,2.905
100,0.5,30,0.4,10,0.36
100,0.5,50,0.4,10,0.739
100,0.5,70,0.4,10,1.545
100,0.5,90,0.4,10,3.549
100,1,30,0.4,10,0.453
100,1,50,0.4,10,0.888
100,1,70,0.4,10,1.787
100,1,90,0.4,10,4.019
100,2,30,0.4,10,0.639
100,2,50,0.4,10,1.169
100,2,70,0.4,10,2.237
100,2,90,0.4,10,4.851
1000,0,30,0,10,0.471
1000,0,50,0,10,1.137
1000,0,70,0,10,2.581
1000,0,90,0,10,6.045
1000,0.5,30,0,10,0.531
1000,0.5,50,0,10,1.234
1000,0.5,70,0,10,2.821
1000,0.5,90,0,10,6.647
1000,1,30,0,10,0.581
1000,1,50,0,10,1.314
1000,1,70,0,10,2.991
1000,1,90,0,10,7.109
1000,2,30,0,10,0.669
1000,2,50,0,10,1.466
1000,2,70,0,10,3.272
1000,2,90,0,10,7.766
1000,0,30,0.1,10,0.401
1000,0,50,0.1,10,0.968
1000,0,70,0.1,10,2.237
1000,0,90,0.1,10,5.263
1000,0.5,30,0.1,10,0.453
1000,0.5,50,0.1,10,1.063
1000,0.5,70,0.1,10,2.46
1000,0.5,90,0.1,10,5.845
1000,1,30,0.1,10,0.503
1000,1,50,0.1,10,1.159
1000,1,70,0.1,10,2.641
1000,1,90,0.1,10,6.32
1000,2,30,0.1,10,0.592
1000,2,50,0.1,10,1.305
1000,2,70,0.1,10,2.954
1000,2,90,0.1,10,7.097
1000,0,30,0.2,10,0.324
1000,0,50,0.2,10,0.8
1000,0,70,0.2,10,1.86
1000,0,90,0.2,10,4.36
1000,0.5,30,0.2,10,0.376
1000,0.5,50,0.2,10,0.896
1000,0.5,70,0.2,10,2.085
1000,0.5,90,0.2,10,4.993
1000,1,30,0.2,10,0.421
1000,1,50,0.2,10,0.977
1000,1,70,0.2,10,2.263
1000,1,90,0.2,10,5.45
1000,2,30,0.2,10,0.503
1000,2,50,0.2,10,1.124
1000,2,70,0.2,10,2.553
1000,2,90,0.2,10,6.194
1000,0,30,0.3,10,0.259
1000,0,50,0.3,10,0.648
1000,0,70,0.3,10,1.518
1000,0,90,0.3,10,3.592
1000,0.5,30,0.3,10,0.306
1000,0.5,50,0.3,10,0.738
1000,0.5,70,0.3,10,1.727
1000,0.5,90,0.3,10,4.164
1000,1,30,0.3,10,0.346
1000,1,50,0.3,10,0.82
1000,1,70,0.3,10,1.889
1000,1,90,0.3,10,4.58
1000,2,30,0.3,10,0.423
1000,2,50,0.3,10,0.948
1000,2,70,0.3,10,2.171
1000,2,90,0.3,10,5.322
1000,0,30,0.4,10,0.207
1000,0,50,0.4,10,0.518
1000,0,70,0.4,10,1.219
1000,0,90,0.4,10,2.887
1000,0.5,30,0.4,10,0.248
1000,0.5,50,0.4,10,0.601
1000,0.5,70,0.4,10,1.419
1000,0.5,90,0.4,10,3.473
1000,1,30,0.4,10,0.284
1000,1,50,0.4,10,0.674
1000,1,70,0.4,10,1.572
1000,1,90,0.4,10,3.853
1000,2,30,0.4,10,0.352
1000,2,50,0.4,10,0.793
1000,2,70,0.4,10,1.848
1000,2,90,0.4,10,4.535
2000,0,30,0,10,0.451
2000,0,50,0,10,1.114
2000,0,70,0,10,2.571
2000,0,90,0,10,5.966
2000,0.5,30,0,10,0.492
2000,0.5,50,0,10,1.198
2000,0.5,70,0,10,2.793
2000,0.5,90,0,10,6.641
2000,1,30,0,10,0.531
2000,1,50,0,10,1.267
2000,1,70,0,10,2.951
2000,1,90,0,10,7.078
2000,2,30,0,10,0.596
2000,2,50,0,10,1.387
2000,2,70,0,10,3.2
2000,2,90,0,10,7.702
2000,0,30,0.1,10,0.384
2000,0,50,0.1,10,0.951
2000,0,70,0.1,10,2.214
2000,0,90,0.1,10,5.239
2000,0.5,30,0.1,10,0.422
2000,0.5,50,0.1,10,1.039
2000,0.5,70,0.1,10,2.425
2000,0.5,90,0.1,10,5.85
2000,1,30,0.1,10,0.462
2000,1,50,0.1,10,1.111
2000,1,70,0.1,10,2.612
2000,1,90,0.1,10,6.287
2000,2,30,0.1,10,0.532
2000,2,50,0.1,10,1.238
2000,2,70,0.1,10,2.902
2000,2,90,0.1,10,7.041
2000,0,30,0.2,10,0.312
2000,0,50,0.2,10,0.789
2000,0,70,0.2,10,1.853
2000,0,90,0.2,10,4.359
2000,0.5,30,0.2,10,0.353
2000,0.5,50,0.2,10,0.872
2000,0.5,70,0.2,10,2.068
2000,0.5,90,0.2,10,4.982
2000,1,30,0.2,10,0.387
2000,1,50,0.2,10,0.942
2000,1,70,0.2,10,2.226
2000,1,90,0.2,10,5.427
2000,2,30,0.2,10,0.452
2000,2,50,0.2,10,1.062
2000,2,70,0.2,10,2.512
2000,2,90,0.2,10,6.171
2000,0,30,0.3,10,0.25
2000,0,50,0.3,10,0.641
2000,0,70,0.3,10,1.511
2000,0,90,0.3,10,3.588
2000,0.5,30,0.3,10,0.286
2000,0.5,50,0.3,10,0.718
2000,0.5,70,0.3,10,1.714
2000,0.5,90,0.3,10,4.157
2000,1,30,0.3,10,0.319
2000,1,50,0.3,10,0.787
2000,1,70,0.3,10,1.879
2000,1,90,0.3,10,4.593
2000,2,30,0.3,10,0.379
2000,2,50,0.3,10,0.897
2000,2,70,0.3,10,2.136
2000,2,90,0.3,10,5.244
2000,0,30,0.4,10,0.2
2000,0,50,0.4,10,0.513
2000,0,70,0.4,10,1.216
2000,0,90,0.4,10,2.849
2000,0.5,30,0.4,10,0.232
2000,0.5,50,0.4,10,0.587
2000,0.5,70,0.4,10,1.413
2000,0.5,90,0.4,10,3.471
2000,1,30,0.4,10,0.262
2000,1,50,0.4,10,0.647
2000,1,70,0.4,10,1.559
2000,1,90,0.4,10,3.84
2000,2,30,0.4,10,0.314
2000,2,50,0.4,10,0.75
2000,2,70,0.4,10,1.803
2000,2,90,0.4,10,4.513
100,0,30,0,20,1.168
100,0,50,0,20,2.353
100,0,70,0,20,4.67
100,0,90,0,20,9.948
100,0.5,30,0,20,1.411
100,0.5,50,0,20,2.701
