x1,x2,x3,x4,x5,y
100,0.5,70,0,20,5.22
100,0.5,90,0,20,10.899
100,1,30,0,20,1.615
100,1,50,0,20,3.013
100,1,70,0,20,5.687
100,1,90,0,20,11.601
100,2,30,0,20,1.986
100,2,50,0,20,3.578
100,2,70,0,20,6.523
100,2,90,0,20,12.927
100,0,30,0.1,20,0.967
100,0,50,0.1,20,1.973
100,0,70,0.1,20,3.994
100,0,90,0.1,20,8.541
100,0.5,30,0.1,20,1.196
100,0.5,50,0.1,20,2.327
100,0.5,70,0.1,20,4.497
100,0.5,90,0.1,20,9.425
100,1,30,0.1,20,1.396
100,1,50,0.1,20,2.625
100,1,70,0.1,20,4.966
100,1,90,0.1,20,10.239
100,2,30,0.1,20,1.768
100,2,50,0.1,20,3.189
100,2,70,0.1,20,5.798
100,2,90,0.1,20,11.648
100,0,30,0.2,20,0.78
100,0,50,0.2,20,1.61
100,0,70,0.2,20,3.243
100,0,90,0.2,20,7.077
100,0.5,30,0.2,20,0.989
100,0.5,50,0.2,20,1.924
100,0.5,70,0.2,20,3.731
100,0.5,90,0.2,20,7.888
100,1,30,0.2,20,1.169
100,1,50,0.2,20,2.201
100,1,70,0.2,20,4.17
100,1,90,0.2,20,8.644
100,2,30,0.2,20,1.513
100,2,50,0.2,20,2.729
100,2,70,0.2,20,4.977
100,2,90,0.2,20,10.06
100,0,30,0.3,20,0.614
100,0,50,0.3,20,1.288
100,0,70,0.3,20,2.623
100,0,90,0.3,20,5.768
100,0.5,30,0.3,20,0.799
100,0.5,50,0.3,20,1.561
100,0.5,70,0.3,20,3.064
100,0.5,90,0.3,20,6.58
100,1,30,0.3,20,0.96
100,1,50,0.3,20,1.813
100,1,70,0.3,20,3.445
100,1,90,0.3,20,7.241
100,2,30,0.3,20,1.275
100,2,50,0.3,20,2.286
100,2,70,0.3,20,4.182
100,2,90,0.3,20,8.432
100,0,30,0.4,20,0.473
100,0,50,0.4,20,1.007
100,0,70,0.4,20,2.086
100,0,90,0.4,20,4.602
100,0.5,30,0.4,20,0.636
100,0.5,50,0.4,20,1.255
100,0.5,70,0.4,20,2.473
100,0.5,90,0.4,20,5.373
100,1,30,0.4,20,0.78
100,1,50,0.4,20,1.479
100,1,70,0.4,20,2.827
100,1,90,0.4,20,5.992
100,2,30,0.4,20,1.062
100,2,50,0.4,20,1.915
100,2,70,0.4,20,3.479
100,2,90,0.4,20,7.08
1000,0,30,0,20,0.88
1000,0,50,0,20,1.969
1000,0,70,0,20,4.259
1000,0,90,0,20,9.657
1000,0.5,30,0,20,0.962
1000,0.5,50,0,20,2.115
1000,0.5,70,0,20,4.569
1000,0.5,90,0,20,10.353
1000,1,30,0,20,1.04
1000,1,50,0,20,2.247
1000,1,70,0,20,4.78
1000,1,90,0,20,10.823
1000,2,30,0,20,1.181
1000,2,50,0,20,2.459
1000,2,70,0,20,5.159
1000,2,90,0,20,11.636
1000,0,30,0.1,20,0.736
1000,0,50,0.1,20,1.667
1000,0,70,0.1,20,3.649
1000,0,90,0.1,20,8.303
1000,0.5,30,0.1,20,0.816
1000,0.5,50,0.1,20,1.808
1000,0.5,70,0.1,20,3.93
1000,0.5,90,0.1,20,8.973
1000,1,30,0.1,20,0.894
1000,1,50,0.1,20,1.952
1000,1,70,0.1,20,4.171
1000,1,90,0.1,20,9.498
1000,2,30,0.1,20,1.035
1000,2,50,0.1,20,2.157
1000,2,70,0.1,20,4.571
1000,2,90,0.1,20,10.427
1000,0,30,0.2,20,0.597
1000,0,50,0.2,20,1.375
1000,0,70,0.2,20,3.022
1000,0,90,0.2,20,6.888
1000,0.5,30,0.2,20,0.676
1000,0.5,50,0.2,20,1.516
1000,0.5,70,0.2,20,3.298
1000,0.5,90,0.2,20,7.542
1000,1,30,0.2,20,0.748
1000,1,50,0.2,20,1.629
1000,1,70,0.2,20,3.531
1000,1,90,0.2,20,8.153
1000,2,30,0.2,20,0.88
1000,2,50,0.2,20,1.837
1000,2,70,0.2,20,3.912
1000,2,90,0.2,20,9.002
1000,0,30,0.3,20,0.477
1000,0,50,0.3,20,1.105
1000,0,70,0.3,20,2.455
1000,0,90,0.3,20,5.642
1000,0.5,30,0.3,20,0.547
1000,0.5,50,0.3,20,1.228
1000,0.5,70,0.3,20,2.714
1000,0.5,90,0.3,20,6.256
1000,1,30,0.3,20,0.612
1000,1,50,0.3,20,1.339
1000,1,70,0.3,20,2.922
1000,1,90,0.3,20,6.813
1000,2,30,0.3,20,0.737
1000,2,50,0.3,20,1.533
1000,2,70,0.3,20,3.289
1000,2,90,0.3,20,7.644
1000,0,30,0.4,20,0.375
1000,0,50,0.4,20,0.883
1000,0,70,0.4,20,1.97
1000,0,90,0.4,20,4.533
1000,0.5,30,0.4,20,0.435
1000,0.5,50,0.4,20,0.993
1000,0.5,70,0.4,20,2.206
1000,0.5,90,0.4,20,5.142
1000,1,30,0.4,20,0.498
1000,1,50,0.4,20,1.092
1000,1,70,0.4,20,2.397
1000,1,90,0.4,20,5.626
1000,2,30,0.4,20,0.605
1000,2,50,0.4,20,1.263
1000,2,70,0.4,20,2.729
1000,2,90,0.4,20,6.402
2000,0,30,0,20,0.831
2000,0,50,0,20,1.912
2000,0,70,0,20,4.236
2000,0,90,0,20,9.63
2000,0.5,30,0,20,0.901
2000,0.5,50,0,20,2.035
2000,0.5,70,0,20,4.496
2000,0.5,90,0,20,10.288
2000,1,30,0,20,0.956
2000,1,50,0,20,2.136
2000,1,70,0,20,4.706
2000,1,90,0,20,10.768
2000,2,30,0,20,1.065
2000,2,50,0,20,2.319
2000,2,70,0,20,5.028
2000,2,90,0,20,11.564
2000,0,30,0.1,20,0.695
2000,0,50,0.1,20,1.625
2000,0,70,0.1,20,3.618
2000,0,90,0.1,20,8.277
2000,0.5,30,0.1,20,0.766
2000,0.5,50,0.1,20,1.748
2000,0.5,70,0.1,20,3.882
2000,0.5,90,0.1,20,8.962
2000,1,30,0.1,20,0.824
2000,1,50,0.1,20,1.853
2000,1,70,0.1,20,4.104
2000,1,90,0.1,20,9.516
2000,2,30,0.1,20,0.928
2000,2,50,0.1,20,2.038
2000,2,70,0.1,20,4.447
2000,2,90,0.1,20,10.393
2000,0,30,0.2,20,0.567
2000,0,50,0.2,20,1.343
2000,0,70,0.2,20,2.997
2000,0,90,0.2,20,6.877
2000,0.5,30,0.2,20,0.629
2000,0.5,50,0.2,20,1.451
2000,0.5,70,0.2,20,3.266
2000,0.5,90,0.2,20,7.543
2000,1,30,0.2,20,0.684
2000,1,50,0.2,20,1.556
2000,1,70,0.2,20,3.458
2000,1,90,0.2,20,8.119
2000,2,30,0.2,20,0.784
2000,2,50,0.2,20,1.721
2000,2,70,0.2,20,3.801
2000,2,90,0.2,20,8.943
2000,0,30,0.3,20,0.456
2000,0,50,0.3,20,1.084
2000,0,70,0.3,20,2.441
2000,0,90,0.3,20,5.638
2000,0.5,30,0.3,20,0.504
2000,0.5,50,0.3,20,1.196
2000,0.5,70,0.3,20,2.684
2000,0.5,90,0.3,20,6.255
2000,1,30,0.3,20,0.558
2000,1,50,0.3,20,1.279
2000,1,70,0.3,20,2.874
2000,1,90,0.3,20,6.782
2000,2,30,0.3,20,0.651
2000,2,50,0.3,20,1.439
2000,2,70,0.3,20,3.199
2000,2,90,0.3,20,7.546
2000,0,30,0.4,20,0.359
2000,0,50,0.4,20,0.864
2000,0,70,0.4,20,1.965
2000,0,90,0.4,20,4.513
2000,0.5,30,0.4,20,0.405
2000,0.5,50,0.4,20,0.96
2000,0.5,70,0.4,20,2.171
2000,0.5,90,0.4,20,5.132
2000,1,30,0.4,20,0.455
2000,1,50,0.4,20,1.045
2000,1,70,0.4,20,2.366
2000,1,90,0.4,20,5.598
2000,2,30,0.4,20,0.537
2000,2,50,0.4,20,1.183
2000,2,70,0.4,20,2.664
2000,2,90,0.4,20,6.351
100,0,30,0,30,1.682
100,0,50,0,30,3.332
100,0,70,0,30,6.484
100,0,90,0,30,13.573
100,0.5,30,0,30,1.984
100,0.5,50,0,30,3.8
100,0.5,70,0,30,7.221
100,0.5,90,0,30,14.673
100,1,30,0,30,2.253
100,1,50,0,30,4.176
100,1,70,0,30,7.79
100,1,90,0,30,15.504
100,2,30,0,30,2.746
100,2,50,0,30,4.894
100,2,70,0,30,8.867
100,2,90,0,30,17.214
100,0,30,0.1,30,1.408
100,0,50,0.1,30,2.794
100,0,70,0.1,30,5.51
100,0,90,0.1,30,11.557
100,0.5,30,0.1,30,1.691
100,0.5,50,0.1,30,3.242
100,0.5,70,0.1,30,6.189
100,0.5,90,0.1,30,12.658
100,1,30,0.1,30,1.951
100,1,50,0.1,30,3.645
100,1,70,0.1,30,6.757
100,1,90,0.1,30,13.524
100,2,30,0.1,30,2.415
100,2,50,0.1,30,4.326
100,2,70,0.1,30,7.872
100,2,90,0.1,30,15.218
100,0,30,0.2,30,1.132
100,0,50,0.2,30,2.281
100,0,70,0.2,30,4.492
100,0,90,0.2,30,9.51
100,0.5,30,0.2,30,1.393
100,0.5,50,0.2,30,2.666
100,0.5,70,0.2,30,5.118
100,0.5,90,0.2,30,10.493
100,1,30,0.2,30,1.636
100,1,50,0.2,30,3.041
100,1,70,0.2,30,5.691
100,1,90,0.2,30,11.449
100,2,30,0.2,30,2.076
100,2,50,0.2,30,3.707
100,2,70,0.2,30,6.707
100,2,90,0.2,30,13.05
100,0,30,0.3,30,0.888
100,0,50,0.3,30,1.822
100,0,70,0.3,30,3.607
100,0,90,0.3,30,7.759
100,0.5,30,0.3,30,1.118
100,0.5,50,0.3,30,2.178
100,0.5,70,0.3,30,4.176
100,0.5,90,0.3,30,8.669
100,1,30,0.3,30,1.345
100,1,50,0.3,30,2.496
100,1,70,0.3,30,4.677
100,1,90,0.3,30,9.46
100,2,30,0.3,30,1.741
100,2,50,0.3,30,3.104
100,2,70,0.3,30,5.636
100,2,90,0.3,30,10.986
100,0,30,0.4,30,0.686
100,0,50,0.4,30,1.425
100,0,70,0.4,30,2.872
100,0,90,0.4,30,6.178
100,0.5,30,0.4,30,0.894
100,0.5,50,0.4,30,1.74
100,0.5,70,0.4,30,3.341
100,0.5,90,0.4,30,7.042
100,1,30,0.4,30,1.085
100,1,50,0.4,30,2.036
100,1,70,0.4,30,3.829
100,1,90,0.4,30,7.797
100,2,30,0.4,30,1.447
100,2,50,0.4,30,2.586
100,2,70,0.4,30,4.656
100,2,90,0.4,30,9.152
1000,0,30,0,30,1.283
1000,0,50,0,30,2.777
1000,0,70,0,30,5.874
1000,0,90,0,30,12.954
1000,0.5,30,0,30,1.401
1000,0.5,50,0,30,2.956
1000,0.5,70,0,30,6.228
1000,0.5,90,0,30,13.686
1000,1,30,0,30,1.506
1000,1,50,0,30,3.127
1000,1,70,0,30,6.515
1000,1,90,0,30,14.244
1000,2,30,0,30,1.688
1000,2,50,0,30,3.41
1000,2,70,0,30,6.95
1000,2,90,0,30,15.222
1000,0,30,0.1,30,1.072
1000,0,50,0.1,30,2.339
1000,0,70,0.1,30,5.009
1000,0,90,0.1,30,11.14
1000,0.5,30,0.1,30,1.18
1000,0.5,50,0.1,30,2.523
1000,0.5,70,0.1,30,5.339
1000,0.5,90,0.1,30,11.787
1000,1,30,0.1,30,1.282
1000,1,50,0.1,30,2.693
1000,1,70,0.1,30,5.638
1000,1,90,0.1,30,12.519
1000,2,30,0.1,30,1.462
1000,2,50,0.1,30,2.972
1000,2,70,0.1,30,6.114
1000,2,90,0.1,30,13.481
1000,0,30,0.2,30,0.87
1000,0,50,0.2,30,1.923
1000,0,70,0.2,30,4.103
1000,0,90,0.2,30,9.251
1000,0.5,30,0.2,30,0.977
1000,0.5,50,0.2,30,2.098
1000,0.5,70,0.2,30,4.456
1000,0.5,90,0.2,30,10.001
1000,1,30,0.2,30,1.068
1000,1,50,0.2,30,2.248
1000,1,70,0.2,30,4.733
1000,1,90,0.2,30,10.55
1000,2,30,0.2,30,1.237
1000,2,50,0.2,30,2.519
1000,2,70,0.2,30,5.174
1000,2,90,0.2,30,11.631
1000,0,30,0.3,30,0.693
1000,0,50,0.3,30,1.541
1000,0,70,0.3,30,3.34
1000,0,90,0.3,30,7.515
1000,0.5,30,0.3,30,0.785
1000,0.5,50,0.3,30,1.706
1000,0.5,70,0.3,30,3.649
1000,0.5,90,0.3,30,8.193
1000,1,30,0.3,30,0.872
1000,1,50,0.3,30,1.84
1000,1,70,0.3,30,3.905
1000,1,90,0.3,30,8.848
1000,2,30,0.3,30,1.02
1000,2,50,0.3,30,2.089
1000,2,70,0.3,30,4.339
1000,2,90,0.3,30,9.771
1000,0,30,0.4,30,0.545
1000,0,50,0.4,30,1.23
1000,0,70,0.4,30,2.675
1000,0,90,0.4,30,6.049
1000,0.5,30,0.4,30,0.628
1000,0.5,50,0.4,30,1.368
1000,0.5,70,0.4,30,2.949
1000,0.5,90,0.4,30,6.697
1000,1,30,0.4,30,0.704
1000,1,50,0.4,30,1.5
1000,1,70,0.4,30,3.186
1000,1,90,0.4,30,7.244
1000,2,30,0.4,30,0.842
1000,2,50,0.4,30,1.711
1000,2,70,0.4,30,3.575
1000,2,90,0.4,30,8.141
2000,0,30,0,30,1.215
2000,0,50,0,30,2.703
2000,0,70,0,30,5.864
2000,0,90,0,30,12.918
2000,0.5,30,0,30,1.308
2000,0.5,50,0,30,2.851
2000,0.5,70,0,30,6.126
2000,0.5,90,0,30,13.591
2000,1,30,0,30,1.381
2000,1,50,0,30,2.976
2000,1,70,0,30,6.359
2000,1,90,0,30,14.133
2000,2,30,0,30,1.528
2000,2,50,0,30,3.199
2000,2,70,0,30,6.774
2000,2,90,0,30,15.071
2000,0,30,0.1,30,1.017
2000,0,50,0.1,30,2.286
2000,0,70,0.1,30,4.945
2000,0,90,0.1,30,11.05
2000,0.5,30,0.1,30,1.1
2000,0.5,50,0.1,30,2.425
2000,0.5,70,0.1,30,5.245
2000,0.5,90,0.1,30,11.721
2000,1,30,0.1,30,1.18
2000,1,50,0.1,30,2.56
2000,1,70,0.1,30,5.504
2000,1,90,0.1,30,12.353
2000,2,30,0.1,30,1.316
2000,2,50,0.1,30,2.795
2000,2,70,0.1,30,5.941
2000,2,90,0.1,30,13.364
2000,0,30,0.2,30,0.829
2000,0,50,0.2,30,1.874
2000,0,70,0.2,30,4.097
2000,0,90,0.2,30,9.215
2000,0.5,30,0.2,30,0.903
2000,0.5,50,0.2,30,2.013
2000,0.5,70,0.2,30,4.403
2000,0.5,90,0.2,30,9.924
2000,1,30,0.2,30,0.98
2000,1,50,0.2,30,2.143
2000,1,70,0.2,30,4.626
2000,1,90,0.2,30,10.454
2000,2,30,0.2,30,1.108
2000,2,50,0.2,30,2.353
2000,2,70,0.2,30,5.045
2000,2,90,0.2,30,11.392
2000,0,30,0.3,30,0.66
2000,0,50,0.3,30,1.506
2000,0,70,0.3,30,3.322
2000,0,90,0.3,30,7.527
2000,0.5,30,0.3,30,0.733
2000,0.5,50,0.3,30,1.641
2000,0.5,70,0.3,30,3.595
2000,0.5,90,0.3,30,8.093
2000,1,30,0.3,30,0.797
2000,1,50,0.3,30,1.754
2000,1,70,0.3,30,3.842
2000,1,90,0.3,30,8.776
2000,2,30,0.3,30,0.915
2000,2,50,0.3,30,1.952
2000,2,70,0.3,30,4.211
2000,2,90,0.3,30,9.637
2000,0,30,0.4,30,0.519
2000,0,50,0.4,30,1.203
2000,0,70,0.4,30,2.66
2000,0,90,0.4,30,6.042
2000,0.5,30,0.4,30,0.583
2000,0.5,50,0.4,30,1.327
2000,0.5,70,0.4,30,2.916
2000,0.5,90,0.4,30,6.668
2000,1,30,0.4,30,0.644
2000,1,50,0.4,30,1.43
2000,1,70,0.4,30,3.119
2000,1,90,0.4,30,7.2
2000,2,30,0.4,30,0.746
2000,2,50,0.4,30,1.597
2000,2,70,0.4,30,3.461
2000,2,90,0.4,30,8.042